"","city","link","lat","long","city_id","city_size","county"
"1","Aachen","https://www.flixbus.de/fernbus/aachen",50.780919,6.102988,243,"247.380","Nordrhein-Westfalen
"
"2","Aalen","https://www.flixbus.de/fernbus/aalen",48.835296,8.835296,244,"68.456","Baden-WÃ¼rttemberg
"
"6","Aichach","https://www.flixbus.de/fernbus/aichach",48.457703,8.457703,377,"21.434","Bayern
"
"9","Ansbach","https://www.flixbus.de/fernbus/ansbach",49.300424,9.300424,255,"41.847","Bayern
"
"10","Arnsberg","https://www.flixbus.de/fernbus/arnsberg",51.405015,1.405015,256,"73.628","Nordrhein-Westfalen
"
"11","Aschaffenburg","https://www.flixbus.de/fernbus/aschaffenburg",49.977752,9.977752,258,"70.527","Bayern
"
"12","Aschersleben","https://www.flixbus.de/fernbus/aschersleben",51.758059,1.758059,116,"27.220","Sachsen-Anhalt
"
"14","Augsburg","https://www.flixbus.de/fernbus/augsburg",48.383046,8.383046,137,"295.135","Bayern
"
"18","Bad Harzburg","https://www.flixbus.de/fernbus/bad-harzburg",51.887109,1.887109,118,"21.945","Niedersachsen
"
"19","Bad Hersfeld","https://www.flixbus.de/fernbus/bad-hersfeld",50.863034,9.722872,117,"29.800","Hessen
"
"21","Bad Oeynhausen","https://www.flixbus.de/fernbus/bad-oeynhausen",52.205381,2.205381,279,"48.702","Nordrhein-Westfalen
"
"27","Baden-Baden","https://www.flixbus.de/fernbus/baden-baden",48.764275,8.764275,291,"55.123","Baden-WÃ¼rttemberg
"
"28","Bamberg","https://www.flixbus.de/fernbus/bamberg",49.900581,9.900581,149,"77.592","Bayern
"
"30","Bautzen","https://www.flixbus.de/fernbus/bautzen",51.182293,1.182293,104,"39.087","Sachsen
"
"31","Bayreuth","https://www.flixbus.de/fernbus/bayreuth",11.584071,1.584071,124,"74.657","Bayern
"
"35","Berlin","https://www.flixbus.de/fernbus/berlin",52.486081,2.486081,88,"3.644.826","Berlin
"
"36","Bernau bei Berlin","https://www.flixbus.de/fernbus/bernau-bei-berlin",52.687484,2.687484,253,"38.825","Brandenburg
"
"37","Bernburg (Saale)","https://www.flixbus.de/fernbus/bernburg",51.797014,1.797014,299,"32.674","Sachsen-Anhalt
"
"44","Bocholt","https://www.flixbus.de/fernbus/bocholt",51.838427,1.838427,307,"71.099","Nordrhein-Westfalen
"
"46","Bonn","https://www.flixbus.de/fernbus/bonn",50.724542,7.108202,309,"327.258","Nordrhein-Westfalen
"
"47","Borken","https://www.flixbus.de/fernbus/borken",51.848271,1.848271,312,"42.530","Nordrhein-Westfalen
"
"49","Bottrop","https://www.flixbus.de/fernbus/bottrop",51.510187,1.510187,314,"117.383","Nordrhein-Westfalen
"
"50","Braunschweig","https://www.flixbus.de/fernbus/braunschweig",52.251194,2.251194,123,"248.292","Niedersachsen
"
"51","Bremen","https://www.flixbus.de/fernbus/bremen",53.082179,3.082179,169,"569.352","Bremen
"
"52","Bremerhaven","https://www.flixbus.de/fernbus/bremerhaven",53.536707,3.536707,319,"113.634","Bremen
"
"54","Brilon","https://www.flixbus.de/fernbus/brilon",51.398429,1.398429,851,"25.417","Nordrhein-Westfalen
"
"57","Celle","https://www.flixbus.de/fernbus/celle",52.620029,2.620029,119,"69.602","Niedersachsen
"
"60","Cloppenburg","https://www.flixbus.de/fernbus/cloppenburg",52.844198,2.844198,339,"34.913","Niedersachsen
"
"62","Cottbus","https://www.flixbus.de/fernbus/cottbus",51.75631,1.75631,340,"100.219","Brandenburg
"
"63","Cuxhaven","https://www.flixbus.de/fernbus/cuxhaven",53.863246,3.863246,341,"48.371","Niedersachsen
"
"65","Darmstadt","https://www.flixbus.de/fernbus/darmstadt",49.870918,9.870918,97,"159.207","Hessen
"
"66","Deggendorf","https://www.flixbus.de/fernbus/deggendorf",48.838567,8.838567,343,"33.585","Bayern
"
"70","Dillenburg","https://www.flixbus.de/fernbus/dillenburg",50.734063,8.294339,349,"23.365","Hessen
"
"71","Donaueschingen","https://www.flixbus.de/fernbus/donaueschingen",47.952152,7.952152,254,"22.526","Baden-WÃ¼rttemberg
"
"72","Dortmund","https://www.flixbus.de/fernbus/dortmund",51.519636,1.519636,131,"587.010","Nordrhein-Westfalen
"
"73","Dresden","https://www.flixbus.de/fernbus/dresden",51.053157,1.053157,355,"554.649","Sachsen
"
"74","Duisburg","https://www.flixbus.de/fernbus/duisburg",51.429636,1.429636,200,"498.590","Nordrhein-Westfalen
"
"75","DÃ¼sseldorf","https://www.flixbus.de/fernbus/duesseldorf",51.222864,1.222864,108,"619.294","Nordrhein-Westfalen
"
"78","Emden","https://www.flixbus.de/fernbus/emden",53.359402,3.359402,363,"50.195","Niedersachsen
"
"80","Erfurt","https://www.flixbus.de/fernbus/erfurt",50.973748,1.040066,372,"213.699","ThÃ¼ringen
"
"81","Erlangen","https://www.flixbus.de/fernbus/erlangen",49.596497,9.596497,150,"111.962","Bayern
"
"82","Essen","https://www.flixbus.de/fernbus/essen",51.450253,1.450253,134,"583.109","Nordrhein-Westfalen
"
"84","Flensburg","https://www.flixbus.de/fernbus/flensburg",54.780814,4.780814,382,"89.504","Schleswig-Holstein
"
"89","Frankfurt (Oder)","https://www.flixbus.de/fernbus/frankfurt-oder",52.347223,2.347223,849,"57.873","Brandenburg
"
"93","Friedrichshafen","https://www.flixbus.de/fernbus/friedrichshafen",47.652758,7.652758,93,"60.865","Baden-WÃ¼rttemberg
"
"94","Fulda","https://www.flixbus.de/fernbus/fulda",50.555891,9.666109,389,"68.586","Hessen
"
"96","FÃ¼rth","https://www.flixbus.de/fernbus/fuerth",49.477116,9.477116,831,"127.748","Bayern
"
"99","Gelsenkirchen","https://www.flixbus.de/fernbus/gelsenkirchen",51.517744,1.517744,114,"260.654","Nordrhein-Westfalen
"
"100","Gera","https://www.flixbus.de/fernbus/gera",50.882649,2.078006,108,"94.152","ThÃ¼ringen
"
"101","GieÃŸen","https://www.flixbus.de/fernbus/giessen",50.578162,8.685109,407,"88.546","Hessen
"
"103","Goslar","https://www.flixbus.de/fernbus/goslar",51.910958,1.910958,414,"50.753","Niedersachsen
"
"107","Greifswald","https://www.flixbus.de/fernbus/greifswald",54.091898,4.091898,417,"59.382","Mecklenburg-Vorpommern
"
"111","GÃ¶rlitz","https://www.flixbus.de/fernbus/goerlitz",51.148141,1.148141,340,"56.324","Sachsen
"
"112","GÃ¶ttingen","https://www.flixbus.de/fernbus/goettingen",51.534104,1.534104,128,"119.801","Niedersachsen
"
"114","GÃ¼tersloh","https://www.flixbus.de/fernbus/guetersloh",51.903237,1.903237,429,"100.194","Nordrhein-Westfalen
"
"115","Hagen","https://www.flixbus.de/fernbus/hagen",51.384315,1.384315,431,"188.814","Nordrhein-Westfalen
"
"116","Halberstadt","https://www.flixbus.de/fernbus/halberstadt",51.898274,1.898274,235,"40.256","Sachsen-Anhalt
"
"118","Halle (Saale)","https://www.flixbus.de/fernbus/halle",51.477501,1.477501,152,"239.257","Sachsen-Anhalt
"
"119","Hamburg","https://www.flixbus.de/fernbus/hamburg",53.551767,3.551767,118,"1.841.179","Hamburg
"
"122","Hannover","https://www.flixbus.de/fernbus/hannover",52.379398,2.379398,146,"538.068","Niedersachsen
"
"125","Heide","https://www.flixbus.de/fernbus/heide",54.195176,4.195176,836,"21.684","Schleswig-Holstein
"
"126","Heidelberg","https://www.flixbus.de/fernbus/heidelberg",49.403805,9.403805,98,"160.355","Baden-WÃ¼rttemberg
"
"128","Heilbronn","https://www.flixbus.de/fernbus/heilbronn",49.168435,9.168435,110,"125.960","Baden-WÃ¼rttemberg
"
"130","Helmstedt","https://www.flixbus.de/fernbus/helmstedt",52.228966,2.228966,448,"25.728","Niedersachsen
"
"131","Herford","https://www.flixbus.de/fernbus/herford",52.11783,2.11783,230,"66.608","Nordrhein-Westfalen
"
"133","Herne","https://www.flixbus.de/fernbus/herne",51.544482,1.544482,455,"156.374","Nordrhein-Westfalen
"
