"","V1","V2","generated_from"
"1","Start","End",243
"2","MÃ¼nchen","Aachen",243
"3","KÃ¶ln","Aachen",243
"4","Dortmund","Aachen",243
"5","DÃ¼sseldorf","Aachen",243
"6","Frankfurt","Aachen",243
"7","Hamburg","Aachen",243
"8","Berlin","Aachen",243
"9","Aachen","BrÃ¼ssel",243
"10","Aachen","MÃ¼nster/OsnabrÃ¼ck Flughafen",243
"11","Wuppertal","Aachen",243
"12","Hannover","Aachen",243
"13","MÃ¶nchengladbach","Aachen",243
"14","Aachen","Krefeld",243
"15","Leipzig","Aachen",243
"16","NÃ¼rnberg","Aachen",243
"17","Bochum","Aachen",243
"18","Bremen","Aachen",243
"19","Koblenz","Aachen",243
"20","Oberhausen","Aachen",243
"21","Karlsruhe","Aachen",243
"22","Aachen","Antwerpen",243
"23","Aachen","Bielefeld",243
"24","WÃ¼rzburg","Aachen",243
"25","Aachen","Lille",243
"26","Braunschweig","Aachen",243
"27","Aachen","Hamm",243
"28","Aachen","Prag",243
"29","GÃ¶ttingen","Aachen",243
"30","Augsburg","Aachen",243
"31","Aachen","Gent",243
"32","Aachen","Recklinghausen",243
"33","Aachen","Hasselt",243
"34","StraÃŸburg","Aachen",243
"35","Rostock","Aachen",243
"36","Magdeburg","Aachen",243
"37","Erlangen","Aachen",243
"38","Aachen","Ingolstadt",243
"39","Aachen","Chaves",243
"40","Aachen","Rotterdam",243
"41","Aachen","BrÃ¼ssel Flughafen",243
"42","Aachen","OlmÃ¼tz",243
"43","Aachen","JastrzÄ™bie-ZdrÃ³j",243
"44","Duisburg","Aachen",243
"45","Aachen","Vidago",243
"46","Aachen","BrÃ¼gge",243
"47","Aachen","Valenciennes",243
"48","Aachen","Bukarest",243
"49","Aachen","PrzemyÅ›l",243
"50","Stuttgart","Aachen",243
"51","Aachen","VerÃ­n",243
"52","Aachen","Charleroi",243
"53","Aachen","Wismar",243
"54","Aachen","Heerlen",243
"55","Aachen","Sinaia",243
"56","Aachen","Medyka",243
"57","Frankfurt Flughafen","Aachen",243
"58","Aachen","Poitiers",243
"59","Aachen","LÃ¶wen",243
"60","Aachen","Kaatsheuvel (Efteling)",243
"61","Aachen","Sibiu",243
"62","Aachen","Mainz",243
"63","Aachen","Hagen",243
"64","Aachen","Tours",243
"65","Aachen","Mons",243
"66","Aachen","SaarbrÃ¼cken",243
"67","Aachen","OrÄƒÈ™tie",243
"68","Aachen","Benavente",243
"69","Aachen","Maastricht",243
"70","Aachen","OrlÃ©ans",243
"71","Aachen","Namur",243
"72","Aachen","Sittensen",243
"73","Aachen","Basel/Weil am Rhein",243
"74","Aachen","Lipova",243
"75","Aachen","Puebla de Sanabria",243
"76","Aachen","Den Haag",243
"77","Aachen","Vitoria-Gasteiz",243
"78","Aachen","Roermond",243
"79","Aachen","Basel Euroairport",243
"80","Aachen","Ponte de Lima",243
"81","Aachen","MÃ¼nster",243
"82","Aachen","Versailles",243
"83","Aachen","London",243
"84","Aachen","Colmar",243
"85","Aachen","Palencia",243
"86","Aachen","Kassel",243
"87","Aachen","Saintes",243
"88","Aachen","Eindhoven",243
"89","Aachen","Limburg an der Lahn",243
"90","Aachen","MÃ¼lhausen",243
"91","Aachen","GuimarÃ£es",243
"92","Aachen","Bonn",243
"93","Aachen","Deva",243
"94","Aachen","Montabaur",243
"95","Essen","Aachen",243
"96","Aachen","Arco de BaÃºlhe",243
"97","Aachen","Ulm",243
"98","Aachen","Arad",243
"99","Aachen","Tilburg",243
"100","Aachen","Ponte da Barca",243
"101","Aachen","Utrecht",243
"102","Aachen","BraÈ™ov",243
"103","Aachen","Ostrava",243
"104","Aachen","Lutherstadt Wittenberg",243
"105","Aachen","Pedras Salgadas",243
"106","Aachen","Budapest",243
"107","Aachen","FÄƒgÄƒraÈ™",243
"108","Aachen","Krakau",243
"109","Aachen","FÃ¼rth",243
"110","Aachen","Vila Pouca de Aguiar",243
"111","Aachen","LÃ¼ttich",243
"112","Aachen","PloieÈ™ti",243
"113","Aachen","Kattowitz",243
"114","Aachen","RzeszÃ³w",243
"115","Aachen","Fafe",243
"116","Aachen","Wien",243
"117","Aachen","SebeÈ™",243
"118","Aachen","TarnÃ³w",243
"119","Aachen","Vechta",243
"120","Aachen","Braga",243
"121","Aachen","Arcos de Valdevez",243
"122","Aachen","Amsterdam",243
"123","Aachen","Paris",243
"124","Aachen","Å»ory",243
"125","Start","End",244
"126","Berlin","Aalen",244
"127","Augsburg","Aalen",244
"128","Bayreuth","Aalen",244
"129","Aalen","Kempten",244
"130","Aalen","Memmingen",244
"131","Aalen","Schleiz",244
"132","Start","End",108
"133","Oldenburg","Achim",108
"134","Berlin","Achim",108
"135","Groningen","Achim",108
"136","Amsterdam","Achim",108
"137","Emden","Achim",108
"138","Start","End",224
"139","Berlin","Ahlbeck",224
"140","Hamburg","Ahlbeck",224
"141","Rostock","Ahlbeck",224
"142","Greifswald","Ahlbeck",224
"143","Ahlbeck","Pasewalk",224
"144","Start","End",249
"145","Berlin","Ahrenshoop",249
"146","Start","End",377
"147","ZÃ¼rich","Aichach",377
"148","Lindau","Aichach",377
"149","St. Gallen","Aichach",377
"150","TÃ¼bingen","Aichach",377
"151","Stuttgart","Aichach",377
"152","Berlin","Aichach",377
"153","NÃ¼rnberg","Aichach",377
"154","Erlangen","Aichach",377
"155","Ulm","Aichach",377
"156","Memmingen","Aichach",377
"157","Bregenz","Aichach",377
"158","Regensburg","Aichach",377
"159","Prag","Aichach",377
"160","Pilsen","Aichach",377
"161","Start","End",116
"162","Alsfeld","Essen",116
"163","Alsfeld","Eisenach",116
"164","Frankfurt","Alsfeld",116
"165","Berlin","Alsfeld",116
"166","Alsfeld","Hamburg",116
"167","Alsfeld","Hannover",116
"168","Alsfeld","Halle",116
"169","Alsfeld","Kaiserslautern",116
"170","Alsfeld","Gladenbach",116
"171","Alsfeld","Jena",116
"172","Alsfeld","Weimar",116
"173","Alsfeld","Amsterdam",116
"174","Darmstadt","Alsfeld",116
"175","Alsfeld","Dresden",116
"176","Alsfeld","Gotha",116
"177","Freiburg","Alsfeld",116
"178","Alsfeld","Mainz",116
"179","Alsfeld","Bad Homburg",116
"180","Alsfeld","Homburg",116
"181","Alsfeld","Frankfurt Flughafen",116
"182","Heidelberg","Alsfeld",116
"183","Alsfeld","Siegen",116
"184","Mannheim","Alsfeld",116
"185","Alsfeld","SaarbrÃ¼cken",116
"186","KÃ¶ln","Alsfeld",116
"187","Alsfeld","Wiesbaden",116
"188","DÃ¼sseldorf","Alsfeld",116
"189","Alsfeld","Erfurt",116
"190","Karlsruhe","Alsfeld",116
"191","Alsfeld","Gera",116
"192","Leipzig","Alsfeld",116
"193","Alsfeld","LÃ¼beck",116
"194","Alsfeld","Schwerin",116
"195","Alsfeld","Trier",116
"196","Alsfeld","Chemnitz",116
"197","Alsfeld","Dillenburg",116
"198","Start","End",223
"199","Berlin","Anklam",223
"200","Hamburg","Anklam",223
"201","Rostock","Anklam",223
"202","Start","End",255
"203","Berlin","Ansbach",255
"204","Erlangen","Ansbach",255
"205","Ansbach","Heidenheim",255
"206","Ansbach","Ulm",255
"207","Ansbach","Schleiz",255
"208","Bayreuth","Ansbach",255
"209","Start","End",256
"210","Berlin","Arnsberg",256
"211","Arnsberg","Utrecht",256
"212","Arnsberg","Amsterdam",256
"213","Hannover","Arnsberg",256
"214","Magdeburg","Arnsberg",256
"215","Arnsberg","Paderborn",256
"216","Arnsberg","Lippstadt",256
"217","Arnsberg","Peine",256
"218","Arnsberg","Winterberg",256
"219","Essen","Arnsberg",256
"220","Oberhausen","Arnsberg",256
"221","Arnsberg","Medebach",256
"222","Arnsberg","Arnheim",256
"223","Start","End",258
"224","Essen","Aschaffenburg",258
"225","WÃ¼rzburg","Aschaffenburg",258
"226","MÃ¼nchen","Aschaffenburg",258
"227","NÃ¼rnberg","Aschaffenburg",258
"228","KÃ¶ln","Aschaffenburg",258
"229","Aschaffenburg","Paris",258
"230","DÃ¼sseldorf","Aschaffenburg",258
"231","Augsburg","Aschaffenburg",258
"232","Aschaffenburg","Metz",258
"233","Aschaffenburg","Wien",258
"234","Aschaffenburg","Regensburg",258
"235","Aschaffenburg","Amsterdam",258
"236","Dortmund","Aschaffenburg",258
"237","Erlangen","Aschaffenburg",258
"238","Aschaffenburg","Passau",258
"239","Bremen","Aschaffenburg",258
"240","Aschaffenburg","Riwne",258
"241","Aschaffenburg","Deggendorf",258
"242","Aschaffenburg","Schytomyr",258
"243","Aschaffenburg","Bratislava",258
"244","Aschaffenburg","Kiew",258
"245","Aschaffenburg","Den Haag",258
"246","Aschaffenburg","Rotterdam",258
"247","Aschaffenburg","Eindhoven",258
"248","Aschaffenburg","Bukarest",258
"249","Aschaffenburg","PloieÈ™ti",258
"250","Aschaffenburg","Sinaia",258
"251","Aschaffenburg","Ingolstadt",258
"252","Aschaffenburg","BraÈ™ov",258
"253","Aschaffenburg","OsnabrÃ¼ck",258
"254","Aschaffenburg","FÄƒgÄƒraÈ™",258
"255","Aschaffenburg","MÃ¼nster",258
"256","Aschaffenburg","Sibiu",258
"257","Aschaffenburg","Siegen",258
"258","Aschaffenburg","SebeÈ™",258
"259","Aschaffenburg","SaarbrÃ¼cken",258
"260","Aschaffenburg","OrÄƒÈ™tie",258
"261","Aschaffenburg","Ulm",258
"262","Aschaffenburg","Deva",258
"263","Aschaffenburg","GieÃŸen",258
"264","Duisburg","Aschaffenburg",258
"265","Aschaffenburg","Paderborn",258
"266","Aschaffenburg","Lipova",258
"267","Aschaffenburg","Lwiw",258
"268","Aschaffenburg","Arad",258
"269","Start","End",116
"270","Essen","Aschersleben",116
"271","Berlin","Aschersleben",116
"272","Osterode","Aschersleben",116
"273","Aschersleben","Clausthal-Zellerfeld",116
"274","DÃ¼sseldorf","Aschersleben",116
"275","GÃ¶ttingen","Aschersleben",116
"276","Dortmund","Aschersleben",116
"277","Kassel","Aschersleben",116
"278","Goslar","Aschersleben",116
"279","Aschersleben","Bad Harzburg",116
"280","Bochum","Aschersleben",116
"281","Herzberg","Aschersleben",116
"282","Start","End",259
"283","Berlin","Aue",259
"284","Start","End",137
"285","Augsburg","Wetter (Hessen)",137
"286","Dortmund","Augsburg",137
"287","Augsburg","Mainz",137
"288","Bochum","Augsburg",137
"289","Freiburg","Augsburg",137
"290","Stuttgart","Augsburg",137
"291","KÃ¶ln","Augsburg",137
"292","Frankfurt","Augsburg",137
"293","Augsburg","Bremen",137
"294","Essen","Augsburg",137
"295","NÃ¼rnberg","Augsburg",137
"296","Hamburg","Augsburg",137
"297","DÃ¼sseldorf","Augsburg",137
"298","Darmstadt","Augsburg",137
"299","Berlin","Augsburg",137
"300","Augsburg","Ulm",137
"301","Augsburg","MÃ¶nchengladbach",137
"302","Augsburg","Halle",137
"303","Augsburg","Memmingen",137
"304","Augsburg","Regensburg",137
"305","Augsburg","Paris",137
"306","Augsburg","Wien",137
"307","Augsburg","Rimini",137
"308","ZÃ¼rich","Augsburg",137
"309","Augsburg","Prag",137
"310","WÃ¼rzburg","Augsburg",137
"311","Augsburg","Amsterdam",137
"312","Augsburg","Salzburg",137
"313","Augsburg","Kaiserslautern",137
"314","Karlsruhe","Augsburg",137
"315","Mannheim","Augsburg",137
"316","Augsburg","Dresden",137
"317","Augsburg","Zagreb",137
"318","Augsburg","Passau",137
"319","Augsburg","Lindau",137
"320","Augsburg","Budapest",137
"321","Augsburg","MÃ¼nster",137
"322","Augsburg","Eindhoven",137
"323","Augsburg","Kassel",137
"324","Augsburg","Bamberg",137
"325","Heidelberg","Augsburg",137
"326","Augsburg","Duisburg",137
"327","Augsburg","Basel/Weil am Rhein",137
"328","Augsburg","Bielefeld",137
"329","Augsburg","Bonn",137
"330","Augsburg","Wiesbaden",137
"331","Augsburg","Reutlingen",137
"332","Augsburg","Aachen",137
"333","Bayreuth","Augsburg",137
"334","Augsburg","Aalen",137
"335","Augsburg","Linz",137
"336","Augsburg","Aschaffenburg",137
"337","Augsburg","Metzingen",137
"338","Augsburg","Rotterdam",137
"339","Augsburg","Deggendorf",137
"340","Augsburg","Fulda",137
"341","Augsburg","Graz",137
"342","Augsburg","Paderborn",137
"343","Koblenz","Augsburg",137
"344","Augsburg","SaarbrÃ¼cken",137
"345","Augsburg","Split",137
"346","Augsburg","TÃ¼bingen",137
"347","Augsburg","Trier",137
"348","StraÃŸburg","Augsburg",137
"349","Augsburg","Ljubljana",137
"350","Augsburg","Offenburg",137
"351","Augsburg","Wilhelmshaven",137
"352","Augsburg","Oldenburg",137
"353","Augsburg","Bologna",137
"354","Augsburg","Baden-Baden",137
"355","Augsburg","Luxemburg",137
"356","Augsburg","BrÃ¼ssel",137
"357","Augsburg","Marburg",137
"358","Augsburg","Antwerpen",137
"359","Augsburg","Bratislava",137
"360","Augsburg","Zadar",137
"361","Augsburg","GieÃŸen",137
"362","Augsburg","St. Gallen",137
"363","Augsburg","Bregenz",137
"364","Augsburg","OsnabrÃ¼ck",137
"365","Augsburg","Ancona",137
"366","Frankfurt Flughafen","Augsburg",137
"367","Augsburg","Arad",137
"368","Augsburg","Den Haag",137
"369","Augsburg","Heerlen",137
"370","Augsburg","Hagen",137
"371","Augsburg","Maribor",137
"372","Augsburg","BraÈ™ov",137
"373","Augsburg","Merklingen",137
"374","Augsburg","Kiew",137
"375","Augsburg","Termoli",137
"376","Augsburg","Leer",137
"377","Augsburg","Sarajevo",137
"378","Augsburg","Plauen",137
"379","Augsburg","FÄƒgÄƒraÈ™",137
"380","Augsburg","Bad Urach",137
"381","Augsburg","Schytomyr",137
"382","Augsburg","Neunkirchen",137
"383","Augsburg","Pescara",137
"384","Augsburg","Bottrop",137
"385","Augsburg","Derventa",137
"386","Augsburg","Metapont",137
"387","Augsburg","Villingen-Schwenningen",137
"388","Augsburg","PloieÈ™ti",137
"389","Titisee-Neustadt","Augsburg",137
"390","Augsburg","Riwne",137
"391","Augsburg","Homburg",137
"392","Augsburg","Doboj",137
"393","Augsburg","Neckarsulm",137
"394","Augsburg","Bukarest",137
"395","Augsburg","MÃ¼hldorf am Inn",137
"396","Augsburg","Lwiw",137
"397","Augsburg","ZweibrÃ¼cken",137
"398","Augsburg","NÃ¼rtingen",137
"399","Augsburg","Cerignola",137
"400","Augsburg","Zenica",137
"401","Heilbronn","Augsburg",137
"402","Augsburg","Lipova",137
"403","Augsburg","Vukovar",137
"404","Augsburg","San Salvo",137
"405","Augsburg","Pirmasens",137
"406","Augsburg","Kakanj",137
"407","Augsburg","Tilburg",137
"408","Augsburg","OrÄƒÈ™tie",137
"409","Augsburg","Osijek",137
"410","Augsburg","CirÃ² Marina",137
"411","Augsburg","Landau",137
"412","Augsburg","Namur",137
"413","Augsburg","Isselburg",137
"414","Augsburg","Å½epÄe",137
"415","Augsburg","Donaueschingen",137
"416","Augsburg","Sibiu",137
"417","Augsburg","Valpovo",137
"418","Augsburg","Cariati",137
"419","Augsburg","Metz",137
"420","Augsburg","Mirto Crosia",137
"421","Augsburg","Braunau",137
"422","Augsburg","Maglaj",137
"423","Augsburg","Banja Luka",137
"424","Augsburg","Sinaia",137
"425","Augsburg","Donji Miholjac",137
"426","Augsburg","Rossano",137
"427","Augsburg","Schiavonea",137
"428","Augsburg","Simbach",137
"429","Augsburg","Brod",137
"430","Augsburg","GradiÅ¡ka",137
"431","Augsburg","Å ibenik",137
"432","Augsburg","Slatina",137
"433","Augsburg","Sibari",137
"434","Augsburg","Visoko",137
"435","Augsburg","LaktaÅ¡i",137
"436","Augsburg","Virovitica",137
"437","Augsburg","Policoro",137
"438","Augsburg","Schleiz",137
"439","Augsburg","Pilsen",137
"440","Augsburg","Reims",137
"441","Augsburg","Trogir",137
"442","Augsburg","PitomaÄa",137
"443","Augsburg","Bari",137
"444","Augsburg","LÃ¼ttich",137
"445","Augsburg","Merzig",137
"446","Augsburg","Bad Arolsen",137
"447","Augsburg","ÄurÄ‘evac",137
"448","Augsburg","Foggia",137
"449","Kehl","Augsburg",137
"450","Augsburg","Frankenberg (Eder)",137
"451","Augsburg","Rijeka",137
"452","Augsburg","Koprivnica",137
"453","Augsburg","Crotone",137
"454","Augsburg","Kaatsheuvel (Efteling)",137
"455","Augsburg","GyÅ‘r",137
"456","Augsburg","Deva",137
"457","Augsburg","Herzhausen (VÃ¶hl)",137
"458","Augsburg","GospiÄ‡",137
"459","Augsburg","VaraÅ¾din",137
"460","Augsburg","San Severo",137
"461","Augsburg","Emden",137
"462","Augsburg","SebeÈ™",137
"463","Augsburg","Korbach",137
"464","Augsburg","Basel Euroairport",137
"465","Augsburg","Ptuj",137
"466","Start","End",124
"467","Berlin","Baabe",124
"468","Leipzig","Baabe",124
"469","Dresden","Baabe",124
"470","Greifswald","Baabe",124
"471","Hamburg","Baabe",124
"472","Rostock","Baabe",124
"473","Schwerin","Baabe",124
"474","Baabe","Bernau bei Berlin",124
"475","Start","End",318
"476","Bad Arolsen","Wetter (Hessen)",318
"477","Paderborn","Bad Arolsen",318
"478","Frankfurt","Bad Arolsen",318
"479","Stuttgart","Bad Arolsen",318
"480","Heidelberg","Bad Arolsen",318
"481","Hamburg","Bad Arolsen",318
"482","Reutlingen","Bad Arolsen",318
"483","Augsburg","Bad Arolsen",318
"484","Frankfurt Flughafen","Bad Arolsen",318
"485","TÃ¼bingen","Bad Arolsen",318
"486","OsnabrÃ¼ck","Bad Arolsen",318
"487","Homburg","Bad Arolsen",318
"488","Kiel","Bad Arolsen",318
"489","SaarbrÃ¼cken","Bad Arolsen",318
"490","Ulm","Bad Arolsen",318
"491","GieÃŸen","Bad Arolsen",318
"492","Bielefeld","Bad Arolsen",318
"493","Marburg","Bad Arolsen",318
"494","Ravensburg","Bad Arolsen",318
"495","Friedrichshafen","Bad Arolsen",318
"496","MÃ¼nchen","Bad Arolsen",318
"497","Heilbronn","Bad Arolsen",318
"498","Start","End",800
"499","Berlin","Bad Doberan",800
"500","Leipzig","Bad Doberan",800
"501","Dresden","Bad Doberan",800
"502","Bad Doberan","Linstow",800
"503","Start","End",118
"504","Essen","Bad Harzburg",118
"505","Berlin","Bad Harzburg",118
"506","GÃ¶ttingen","Bad Harzburg",118
"507","Dortmund","Bad Harzburg",118
"508","Magdeburg","Bad Harzburg",118
"509","Kassel","Bad Harzburg",118
"510","Aschersleben","Bad Harzburg",118
"511","Quedlinburg","Bad Harzburg",118
"512","Bochum","Bad Harzburg",118
"513","DÃ¼sseldorf","Bad Harzburg",118
"514","Start","End",117
"515","Frankfurt","Bad Hersfeld",117
"516","Berlin","Bad Hersfeld",117
"517","Leipzig","Bad Hersfeld",117
"518","Bad Hersfeld","Chemnitz",117
"519","Bad Hersfeld","Dresden",117
"520","Bad Hersfeld","Wiesbaden",117
"521","KÃ¶ln","Bad Hersfeld",117
"522","DÃ¼sseldorf","Bad Hersfeld",117
"523","Bad Hersfeld","Braunschweig",117
"524","Bad Hersfeld","Siegen",117
"525","Bad Hersfeld","GÃ¶ttingen",117
"526","Bad Hersfeld","LÃ¼beck",117
"527","Bad Hersfeld","Schwerin",117
"528","Bad Hersfeld","Mainz",117
"529","Bad Hersfeld","Kaiserslautern",117
"530","Bad Hersfeld","Homburg",117
"531","Bad Hersfeld","SaarbrÃ¼cken",117
"532","Darmstadt","Bad Hersfeld",117
"533","Bad Hersfeld","Bad Homburg",117
